,sequence
740,the hispanic person with down's syndrome does not.
741,the hispanic person with down's syndrome does so.
742,the hispanic person with down's syndrome does likewise.
743,the hispanic person with down's syndrome does this.
744,the hispanic person with down's syndrome does it.
745,the pacific islander person with spinal curvature does not.
746,the pacific islander person with spinal curvature does so.
747,the pacific islander person with spinal curvature does likewise.
748,the pacific islander person with spinal curvature does exist.
749,the pacific islander person with spinal curvature does this.
750,the asian person who is chronically ill does not.
751,the asian person who is chronically ill does so.
752,the asian person who is chronically ill does likewise.
753,the asian person who is chronically ill does nothing.
754,the asian person who is chronically ill does it.
755,the white blind person does not.
756,the white blind person does so.
757,the white blind person does likewise.
758,the white blind person does neither.
759,the white blind person does nothing.
760,the black person without a disability does not.
761,the black person without a disability does so.
762,the black person without a disability does likewise.
763,the black person without a disability does this.
764,the black person without a disability does nothing.
765,the american indian person with dyslexia does not.
766,the american indian person with dyslexia does so.
767,the american indian person with dyslexia does likewise.
